idx,year,race,location,type_simple,DemPredFinal,RepPredFinal,DemShareAct,RepShareAct
279,2008,2008_Sen-G_MN,MN,Sen-G,0.5016989475493454,0.4983010524506547,0.5000595450756222,0.4999404549243777
280,2008,2008_Sen-G_MS,MS,Sen-G,0.3333333333333333,0.6666666666666666,0.3856,0.6144
281,2008,2008_Sen-G_MT,MT,Sen-G,0.7288620650161577,0.27113793498384237,0.7292000000000001,0.2708
282,2008,2008_Sen-G_NC,NC,Sen-G,0.5277657022862559,0.47223429771374414,0.5437364453165341,0.45626355468346586
283,2008,2008_Sen-G_NE,NE,Sen-G,0.39080459770114945,0.6091954022988506,0.4105349456855913,0.5894650543144087
284,2008,2008_Sen-G_NH,NH,Sen-G,0.5480348102278807,0.4519651897721193,0.5327344072697233,0.46726559273027674
285,2008,2008_Sen-G_NJ,NJ,Sen-G,0.5870130042367798,0.4129869957632201,0.5718513982445397,0.4281486017554603
286,2008,2008_Sen-G_NM,NM,Sen-G,0.5901264105132616,0.40987358948673835,0.6133,0.38670000000000004
287,2008,2008_Sen-G_OK,OK,Sen-G,0.4220477667012655,0.5779522332987345,0.4087210515334863,0.5912789484665136
288,2008,2008_Sen-G_OR,OR,Sen-G,0.5298311979018283,0.47016880209817163,0.5177342509264161,0.48226574907358394
289,2008,2008_Sen-G_RI,RI,Sen-G,0.7191011235955056,0.2808988764044944,0.7340767530640948,0.2659232469359052
290,2008,2008_Sen-G_SC,SC,Sen-G,0.4002094367512352,0.5997905632487647,0.423473990177408,0.576526009822592
291,2008,2008_Sen-G_SD,SD,Sen-G,0.6250986935171123,0.37490130648288755,0.6249,0.3751
292,2008,2008_Sen-G_TN,TN,Sen-G,0.3680858005076897,0.6319141994923102,0.32692705104360403,0.6730729489563959
293,2008,2008_Sen-G_TX,TX,Sen-G,0.4351261626878212,0.5648738373121788,0.43866475527339754,0.5613352447266026
294,2008,2008_Sen-G_VA,VA,Sen-G,0.644214214953212,0.35578578504678804,0.6584649655731066,0.3415350344268935
295,2008,2008_Sen-G_WV,WV,Sen-G,0.5951053389644312,0.4048946610355687,0.6373637363736374,0.36263626362636264
296,2008,2008_Sen-G_WY,WY,Sen-G,0.3170190056222743,0.6829809943777256,0.2428671538692562,0.7571328461307437
297,2008,2008_Sen-GR_GA,GA,Sen-G,0.4719856938959019,0.5280143061040982,0.42560000000000003,0.5744
298,2008,2008_Sen-GS_MS,MS,Sen-G,0.45583452701744914,0.5441654729825508,0.45039999999999997,0.5496
299,2008,2008_Sen-GS_WY,WY,Sen-G,0.3378379305392877,0.6621620694607122,0.26561216105176666,0.7343878389482333
300,2009,2009_Gov-G_NJ,NJ,Gov-G,0.4959921670625154,0.5040078329374846,0.4808743169398907,0.5191256830601092
301,2009,2009_Gov-G_VA,VA,Gov-G,0.4276842613496417,0.5723157386503583,0.41341341341341337,0.5865865865865866
302,2010,2010_Gov-G_AK,AK,Gov-G,0.4384411287613342,0.5615588712386659,0.3894345084255143,0.6105654915744857
303,2010,2010_Gov-G_AL,AL,Gov-G,0.42168674698795183,0.5783132530120482,0.4210155857214681,0.578984414278532
304,2010,2010_Gov-G_AR,AR,Gov-G,0.6254119438467873,0.37458805615321267,0.6570117287098418,0.3429882712901581
305,2010,2010_Gov-G_AZ,AZ,Gov-G,0.450712726211298,0.549287273788702,0.4387343604591045,0.5612656395408955
306,2010,2010_Gov-G_CA,CA,Gov-G,0.5371453667556154,0.46285463324438464,0.5680929741151611,0.43190702588483887
307,2010,2010_Gov-G_CT,CT,Gov-G,0.4989556846919603,0.5010443153080397,0.502843794434288,0.49715620556571194
308,2010,2010_Gov-G_FL,FL,Gov-G,0.4937476759500426,0.5062523240499575,0.4940470027953204,0.5059529972046796
309,2010,2010_Gov-G_GA,GA,Gov-G,0.4582760536391963,0.5417239463608037,0.4476507969580164,0.5523492030419835
310,2010,2010_Gov-G_HI,HI,Gov-G,0.527525142353606,0.47247485764639396,0.5860680491242198,0.4139319508757801
311,2010,2010_Gov-G_IA,IA,Gov-G,0.4415687227410472,0.5584312772589527,0.45001041449697976,0.5499895855030201
312,2010,2010_Gov-G_ID,ID,Gov-G,0.36585365853658536,0.6341463414634146,0.35722053066550674,0.6427794693344931
313,2010,2010_Gov-G_IL,IL,Gov-G,0.46650959709227835,0.5334904029077215,0.5045831985333765,0.49541680146662354
314,2010,2010_Gov-G_KS,KS,Gov-G,0.3516483516483517,0.6483516483516484,0.3373128076238349,0.662687192376165
315,2010,2010_Gov-G_MA,MA,Gov-G,0.5122705696228166,0.4877294303771834,0.5356984969053935,0.46430150309460655
316,2010,2010_Gov-G_MD,MD,Gov-G,0.5624714757358561,0.43752852426414396,0.5737019279812302,0.42629807201876974
317,2010,2010_Gov-G_MI,MI,Gov-G,0.40017484235608347,0.5998251576439165,0.4071013161922253,0.5928986838077748
318,2010,2010_Gov-G_MN,MN,Gov-G,0.5279340179916496,0.4720659820083504,0.5024182404421925,0.4975817595578075
319,2010,2010_Gov-G_NH,NH,Gov-G,0.539172748542499,0.46082725145750103,0.5389577147537626,0.46104228524623736
320,2010,2010_Gov-G_NM,NM,Gov-G,0.4541136797037352,0.5458863202962647,0.46624599358974356,0.5337540064102564
321,2010,2010_Gov-G_NV,NV,Gov-G,0.41144428552411455,0.5885557144758854,0.4381383594819417,0.5618616405180583
322,2010,2010_Gov-G_NY,NY,Gov-G,0.6395818992567729,0.36041810074322717,0.6528416213957376,0.3471583786042624
323,2010,2010_Gov-G_OH,OH,Gov-G,0.4819835883512686,0.5180164116487314,0.48959200666111574,0.5104079933388843
324,2010,2010_Gov-G_OK,OK,Gov-G,0.4042553191489362,0.5957446808510639,0.39549999999999996,0.6045
325,2010,2010_Gov-G_OR,OR,Gov-G,0.5068549230010814,0.4931450769989186,0.5078825347758887,0.49211746522411126
326,2010,2010_Gov-G_PA,PA,Gov-G,0.4534740189494686,0.5465259810505315,0.4551,0.5449
327,2010,2010_Gov-G_SC,SC,Gov-G,0.44788991703923314,0.5521100829607668,0.47730972730972726,0.5226902726902727
328,2010,2010_Gov-G_SD,SD,Gov-G,0.42484203106553575,0.5751579689344644,0.3849,0.6151
329,2010,2010_Gov-G_TN,TN,Gov-G,0.32993600379236787,0.6700639962076321,0.3371725614106615,0.6628274385893385
330,2010,2010_Gov-G_TX,TX,Gov-G,0.44135840967036044,0.5586415903296394,0.4348720057571708,0.5651279942428292
331,2010,2010_Gov-G_UT,UT,Gov-G,0.3280372313325868,0.6719627686674131,0.33239554027300194,0.667604459726998
332,2010,2010_Gov-G_VT,VT,Gov-G,0.5210073596871833,0.4789926403128168,0.5092106617268705,0.4907893382731296
333,2010,2010_Gov-G_WI,WI,Gov-G,0.45888023805803096,0.5411197619419691,0.470778891927479,0.5292211080725211
334,2010,2010_Sen-G_AR,AR,Sen-G,0.39654240035498195,0.603457599645018,0.389562467053242,0.6104375329467581
335,2010,2010_Sen-G_AZ,AZ,Sen-G,0.39084569998212043,0.6091543000178795,0.37054912054912054,0.6294508794508794
336,2010,2010_Sen-G_CA,CA,Sen-G,0.5165718915257179,0.4834281084742821,0.5530471648118708,0.44695283518812934
337,2010,2010_Sen-G_CO,CO,Sen-G,0.4878918337124917,0.5121081662875082,0.5088907705334462,0.49110922946655383
338,2010,2010_Sen-G_CT,CT,Sen-G,0.5403262056638359,0.459673794336164,0.5606830656637528,0.4393169343362472
339,2010,2010_Sen-G_DE,DE,Sen-G,0.5480412505491186,0.4519587494508815,0.5857822847682119,0.4142177152317881
340,2010,2010_Sen-G_GA,GA,Sen-G,0.372708492640486,0.627291507359514,0.40078100914602816,0.5992189908539719
341,2010,2010_Sen-G_HI,HI,Sen-G,0.5698924731182796,0.43010752688172044,0.776198381406931,0.2238016185930691
342,2010,2010_Sen-G_IA,IA,Sen-G,0.32967032967032966,0.6703296703296703,0.34101382488479265,0.6589861751152074
343,2010,2010_Sen-G_ID,ID,Sen-G,0.23809523809523808,0.7619047619047619,0.2593902819685776,0.7406097180314223
344,2010,2010_Sen-G_IL,IL,Sen-G,0.4841652709421483,0.5158347290578518,0.4915810653394048,0.5084189346605951
345,2010,2010_Sen-G_IN,IN,Sen-G,0.3802341948395413,0.6197658051604586,0.4229223937407486,0.5770776062592514
346,2010,2010_Sen-G_KS,KS,Sen-G,0.2826086956521739,0.717391304347826,0.27345288690784697,0.726547113092153
347,2010,2010_Sen-G_KY,KY,Sen-G,0.4450478444401786,0.5549521555598215,0.4425983385046542,0.5574016614953458
